site_id,long,lat
abandoned pa turnpike,-78.22783,39.99996
allegheny nf gasline,-78.88442,41.8475
allegheny nf lenheart rd,-79.24765,41.807895
bartram gardens,-75.21107,39.931463
benezette elk center,-78.368802,41.3232409
bernel road park,-77.8752995,40.8469954
bowman hill,-74.93986,40.3316764
brandywine riverside museum,-75.59418,39.8697
cherry springs sp,-77.81081,41.66527
clarion county park,-79.433803,41.20009
crooked creek sp,-79.5136,40.71055
enola low grade trail,-76.337066,39.9078565
flight 93,-78.8949915,40.065542
frances solcum sp,-75.8908081,41.3397004
glade rune lake park,-79.90172,40.71502
goddard sp,-80.14693,41.42691
hill creek sp,-77.19799,41.80133
hummelstown,-76.72431,40.26624
hyner view sp,-77.5968,41.34061
jacobsburg env center,-75.29358,40.78275
juniata college,-77.9975,40.5055
lackawanna sp,-75.7101358,41.5669765
laurel run,-75.15258,41.15171
ligonier,-79.2327,40.2475
lily pond,-74.853539,41.3604686
loretto,-78.63342,40.49903
moraine sp,-80.0850417,40.960691
morris arboretum,-75.22131,40.08683
mt pisgah sp,-76.66538,41.80439
noel dowart park,-76.3529792,40.0542339
pittsburgh trail,-79.96262,40.42805
port royal speedway,-77.3931389,40.5359789
psu arboretum,-77.86849,40.8061
psu fruit farm,-77.25065,39.9395
psu schuykill,-76.16433,40.64157
rothrock sf,-77.7638,40.73032
ryerson station sp,-80.43871,39.89341
sb elliot sp,-78.508278,41.098909
sullivan county fairgrounds,-76.59705,41.48458
west perry high school,-77.2991144,40.3845925
yellow creek sp,-79.00865,40.57518
bartram gardens,-75.2122,39.93256
benezette elk center,-78.36809,41.32297
bernel road park,-77.87531,40.84702
flight 93,-78.90049,40.0552
goddard sp,-80.14694,41.42691
hummelstown,-76.72504,40.26542
lake erie arboretum,-80.11768,42.11687
lancaster roadside,-76.34656,39.90498
ligonier,-79.23734,40.2447
lock haven,-77.44911,41.13957
mackungie roadside,-75.5516,40.5473
mauch chunk lake rd,-75.80439,40.84484
noel dowart park,-76.34574,40.05653
pittsburgh trail,-79.96263,40.42805
psu arboretum,-77.8685,40.8061
psu fruit farm,-77.24993,39.93923
psu fruit farm,-77.24916,39.93629
sb elliot sp,-78.52585,41.11279